Date,Open,High,Low,Close
9/21/2022,3871.40,3907.07,3789.49,3789.93
9/20/2022,3875.23,3876.01,3827.54,3855.93
9/19/2022,3849.91,3900.45,3838.50,3899.89
9/16/2022,3880.95,3880.95,3837.08,3873.33
9/15/2022,3932.41,3959.14,3888.28,3901.35
9/14/2022,3940.73,3961.94,3912.18,3946.01
9/13/2022,4037.12,4037.12,3921.28,3932.69
9/12/2022,4083.67,4119.28,4083.67,4110.41
9/9/2022,4022.94,4076.81,4022.94,4067.36
9/8/2022,3959.94,4010.50,3944.81,4006.18
9/7/2022,3909.43,3987.89,3906.03,3979.87
9/6/2022,3930.89,3942.55,3886.75,3908.19
9/2/2022,3996.39,4018.43,3906.21,3924.26
9/1/2022,3936.73,3970.23,3903.65,3966.85
8/31/2022,4000.67,4015.37,3954.53,3955.00
8/30/2022,4041.25,4044.98,3965.21,3986.16
8/29/2022,4034.58,4062.99,4017.42,4030.61
8/26/2022,4198.74,4203.04,4057.66,4057.66
8/25/2022,4153.26,4200.54,4147.59,4199.12
8/24/2022,4126.55,4156.56,4119.97,4140.77
8/23/2022,4133.09,4159.77,4124.03,4128.73
8/22/2022,4195.08,4195.08,4129.86,4137.99
8/19/2022,4266.31,4266.31,4218.70,4228.48
8/18/2022,4273.13,4292.53,4261.98,4283.74
8/17/2022,4280.40,4302.18,4253.08,4274.04
8/16/2022,4290.46,4325.28,4277.77,4305.20
8/15/2022,4269.37,4301.79,4256.90,4297.14
8/12/2022,4225.02,4280.47,4219.78,4280.15
8/11/2022,4227.40,4257.91,4201.41,4207.27
